đau	B-TT
vùng	I-TT
trên	I-TT
rốn	I-TT

đây	OTH
là	OTH
triệu_chứng	OTH
thường	OTH
gặp	OTH
nhất	OTH
và	OTH
là	OTH
nguyên_nhân	OTH
khiến	OTH
chúng_ta	OTH
cảm_thấy	B-TT
khó_chịu	I-TT
nhất	OTH


chúng_ta	OTH
có_thể	OTH
cảm_thấy	OTH
cảm_giác	B-TT
cồn_cào	I-TT
vùng	I-TT
bụng	I-TT
trên	OTH
rốn	OTH
nhất	OTH
là	OTH
sau	B-TG
khi	I-TG
ăn	I-TG
xong	I-TG
khoảng	OTH
2	OTH
–	OTH
3	OTH
tiếng	OTH
hoặc	OTH
khi	B-TG
chúng_ta	OTH
đói	I-TG
bụng	I-TG


cơn	OTH
đau	OTH
cũng	OTH
thường	OTH
xuất_hiện	OTH
vào	B-TG
lúc	I-TG
nửa_đêm	I-TG
về	OTH
sáng	OTH
làm	OTH
cản_trở	OTH
giấc_ngủ	OTH


đầyp 	B-TT
bụng	I-TT
khó	B-TT
tiêu	I-TT
buồn_nôn	B-TT

khi	OTH
dạ_dày	OTH
tổn_thương	OTH
làm	OTH
hoạt_động	OTH
tiêu_hoá	OTH
bị	OTH
trì_trệ	OTH
thức_ăn	OTH
chậm	OTH
đi	OTH
ra	OTH
khỏi	OTH
đường	OTH
tiêu_hoá	OTH
gây	OTH
ra	OTH
những	OTH
triệu_chứng	OTH
đầy	B-TT
bụng	I-TT
khó	B-TT
tiêu	I-TT
hay	OTH
buồn_nôn	B-TT


nôn	B-TT
có_thể	OTH
khiến	OTH
chúng_ta	OTH
thấy	OTH
dễ_chịu	OTH
hơn	OTH

đôi_khi		OTH
trong	OTH
những	OTH
trường_hợp	OTH
có	OTH
chảy_máu	OTH
dạ_dày	OTH
chúng_ta	OTH
có_thể	OTH
nôn	B-TT
kèm	I-TT
máu	I-TT


ợ	B-TT
nóng	I-TT
khó_chịu	B-TT
vùng	I-TT
ngực	I-TT


tiêu_phân	B-TT
đen	I-TT
tiêu	B-TT
máu	I-TT
đỏ	I-TT

khi	OTH
lượng	OTH
